epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76792,2.93581,5.04615,0.87918,0.00524,0.34375,0.00305,0.00078,2.64126,4.52816,0.73267,0.0001,0.0001,0.0001
2,16.7026,2.78685,4.3195,0.89331,0.00429,0.28125,0.00381,0.00058,2.9272,4.59598,0.72976,0.000217822,0.000217822,0.000217822
3,24.3247,2.56175,3.58313,0.84204,0.00381,0.25,0.00287,0.00093,2.30704,4.38819,0.74281,0.000333268,0.000333268,0.000333268
4,32.4272,3.10464,3.37307,0.80787,0.00476,0.3125,0.0046,0.0008,2.31726,4.2108,0.74148,0.000446338,0.000446338,0.000446338
5,40.0701,3.09005,3.06361,0.80013,0.00333,0.21875,0.00232,0.00049,2.54357,4.21785,0.74438,0.000557032,0.000557032,0.000557032
6,47.8036,3.10117,2.66644,0.81347,0.00429,0.28125,0.00244,0.00056,2.67457,4.2587,0.73956,0.00066535,0.00066535,0.00066535
7,55.3139,2.72435,2.4283,0.78897,0.00381,0.25,0.00257,0.00079,2.51906,4.14738,0.73875,0.000771292,0.000771292,0.000771292
8,62.8553,2.55648,3.10447,0.88946,0.00381,0.25,0.00257,0.00079,2.51906,4.14738,0.73875,0.000874858,0.000874858,0.000874858
9,70.4248,3.16119,2.62508,0.81865,0.00905,0.59375,0.01023,0.00296,2.58147,4.10057,0.7688,0.000976048,0.000976048,0.000976048
10,78.027,2.97866,2.63998,0.82104,0.01333,0.875,0.0307,0.01037,2.41186,3.79482,0.76185,0.00107486,0.00107486,0.00107486
11,85.5248,3.22751,2.73106,0.81983,0.01333,0.875,0.0307,0.01037,2.41186,3.79482,0.76185,0.0011713,0.0011713,0.0011713
12,93.9579,3.00946,2.16455,0.82944,0.01333,0.875,0.4655,0.14652,2.55179,3.29924,0.75082,0.00126536,0.00126536,0.00126536
13,101.863,2.81793,2.12087,0.76307,0.01333,0.875,0.4655,0.14652,2.55179,3.29924,0.75082,0.00135705,0.00135705,0.00135705
14,110.117,2.79487,2.21799,0.78397,0.01333,0.875,0.4655,0.14652,2.55179,3.29924,0.75082,0.00144636,0.00144636,0.00144636
15,118.766,2.901,2.45468,0.76548,0.68756,0.27547,0.53187,0.15446,2.60903,2.80682,0.74248,0.00153329,0.00153329,0.00153329
16,129.275,2.83053,3.09008,0.83997,0.68756,0.27547,0.53187,0.15446,2.60903,2.80682,0.74248,0.00161785,0.00161785,0.00161785
17,140.501,2.85082,2.33886,0.78648,0.88061,0.5,0.71658,0.18554,2.46871,2.55844,0.75306,0.0016832,0.0016832,0.0016832
18,152.145,2.83623,2.03752,0.80586,0.88061,0.5,0.71658,0.18554,2.46871,2.55844,0.75306,0.0016634,0.0016634,0.0016634
19,165.168,3.21682,2.17153,0.8089,0.88061,0.5,0.71658,0.18554,2.46871,2.55844,0.75306,0.0016436,0.0016436,0.0016436
20,176.969,3.27199,2.14949,0.76775,0.83552,0.63525,0.78332,0.20604,2.53356,2.38841,0.78368,0.0016238,0.0016238,0.0016238
21,189.247,2.83758,2.35199,0.79184,0.83552,0.63525,0.78332,0.20604,2.53356,2.38841,0.78368,0.001604,0.001604,0.001604
22,202.842,2.91894,1.99207,0.80797,0.83552,0.63525,0.78332,0.20604,2.53356,2.38841,0.78368,0.0015842,0.0015842,0.0015842
23,217.865,2.67357,2.14445,0.81582,0.86728,0.84375,0.88902,0.32562,2.28209,1.98278,0.75701,0.0015644,0.0015644,0.0015644
24,234.434,2.61314,2.2101,0.80919,0.86728,0.84375,0.88902,0.32562,2.28209,1.98278,0.75701,0.0015446,0.0015446,0.0015446
25,251.104,2.71728,1.97758,0.79899,0.90516,0.78125,0.88398,0.40123,2.02144,1.76765,0.73205,0.0015248,0.0015248,0.0015248
26,268.488,2.64915,1.76999,0.79555,0.90516,0.78125,0.88398,0.40123,2.02144,1.76765,0.73205,0.001505,0.001505,0.001505
27,286.658,2.66608,2.02558,0.75772,0.90516,0.78125,0.88398,0.40123,2.02144,1.76765,0.73205,0.0014852,0.0014852,0.0014852
28,304.597,2.46015,1.9314,0.79299,0.77186,0.8459,0.87461,0.34257,2.11539,1.76518,0.75313,0.0014654,0.0014654,0.0014654
29,317.903,2.66905,2.12304,0.81833,0.77186,0.8459,0.87461,0.34257,2.11539,1.76518,0.75313,0.0014456,0.0014456,0.0014456
30,335.929,2.77487,2.06597,0.80079,0.77186,0.8459,0.87461,0.34257,2.11539,1.76518,0.75313,0.0014258,0.0014258,0.0014258
31,353.033,2.76488,1.80571,0.79377,0.83861,0.875,0.90187,0.34336,2.14282,1.8546,0.75063,0.001406,0.001406,0.001406
32,369.251,2.52575,1.75551,0.79969,0.83861,0.875,0.90187,0.34336,2.14282,1.8546,0.75063,0.0013862,0.0013862,0.0013862
33,385.469,2.57177,1.78958,0.75263,0.85626,0.875,0.91665,0.35122,2.07176,1.75237,0.73719,0.0013664,0.0013664,0.0013664
