epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,889.292,2.06801,1.324,0.80594,0.91257,0.87931,0.86281,0.31605,2.14382,1.52955,0.79607,0.0015842,0.0015842,0.0015842
23,939.782,2.07388,1.38078,0.77573,0.93408,0.94828,0.97516,0.4633,1.7326,1.22491,0.76268,0.0015644,0.0015644,0.0015644
24,990.237,2.0485,1.26091,0.77428,0.9803,0.85783,0.94317,0.43568,1.85441,1.18016,0.76848,0.0015446,0.0015446,0.0015446
25,1046.54,2.11007,1.30443,0.79873,0.97611,0.86207,0.92245,0.40536,1.97423,1.22273,0.78117,0.0015248,0.0015248,0.0015248
26,1095.43,2.00846,1.19772,0.76889,0.96161,0.86374,0.9398,0.40962,1.9477,1.228,0.77847,0.001505,0.001505,0.001505
27,1146.07,2.02435,1.19898,0.78257,0.93156,0.93871,0.97162,0.45994,1.83617,1.23865,0.76856,0.0014852,0.0014852,0.0014852
28,1196.05,1.90875,1.21063,0.77551,0.92745,0.88171,0.91275,0.39281,1.95322,1.22814,0.78161,0.0014654,0.0014654,0.0014654
29,1245.57,2.05035,1.20573,0.78685,0.90129,0.86207,0.87383,0.37529,2.00523,1.21312,0.78193,0.0014456,0.0014456,0.0014456
30,1294.13,1.92947,1.14591,0.79032,0.94598,0.93103,0.96313,0.41797,1.89687,1.18262,0.7723,0.0014258,0.0014258,0.0014258
31,1344.09,1.94124,1.14794,0.78524,0.98204,0.94285,0.97349,0.41801,1.91008,1.13863,0.77534,0.001406,0.001406,0.001406
32,1404.16,1.97685,1.13451,0.77454,0.94558,0.91379,0.93552,0.38432,2.0286,1.20446,0.78751,0.0013862,0.0013862,0.0013862
33,1465.59,1.95967,1.33387,0.79094,0.96521,0.95678,0.97667,0.42503,1.88471,1.10822,0.77676,0.0013664,0.0013664,0.0013664
34,1520.15,1.83632,1.09038,0.78207,0.98245,0.965,0.97568,0.45408,1.73105,1.06025,0.76134,0.0013466,0.0013466,0.0013466
35,1572.36,2.07372,1.14209,0.75192,0.98719,0.94828,0.9739,0.4881,1.73797,1.02308,0.75926,0.0013268,0.0013268,0.0013268
36,1623.43,1.87093,1.06364,0.78953,0.98163,0.92165,0.9519,0.45325,1.85109,1.07216,0.76942,0.001307,0.001307,0.001307
37,1671.6,1.87931,1.0277,0.79331,0.96744,0.89655,0.94837,0.40921,2.01179,1.15014,0.78009,0.0012872,0.0012872,0.0012872
38,1720.77,1.97633,1.05808,0.74885,1,0.91359,0.9693,0.43037,1.89653,1.11593,0.77201,0.0012674,0.0012674,0.0012674
39,1767.35,1.92214,1.08756,0.76565,1,0.91815,0.97115,0.44819,1.82572,1.07216,0.76175,0.0012476,0.0012476,0.0012476
40,1818.75,1.95005,1.05818,0.77076,1,0.92847,0.97225,0.43973,1.85577,1.07567,0.7629,0.0012278,0.0012278,0.0012278
41,1868.93,1.79282,0.96747,0.7729,0.98162,0.92073,0.97144,0.44748,1.79057,1.04313,0.75984,0.001208,0.001208,0.001208
42,1922.15,1.82981,1.00467,0.76534,0.98173,0.9265,0.97081,0.46038,1.67924,1.00427,0.75659,0.0011882,0.0011882,0.0011882
43,1973.64,1.90906,1.00774,0.76243,0.96178,0.94828,0.95183,0.46743,1.7432,1.08122,0.75984,0.0011684,0.0011684,0.0011684
44,2025.33,1.87094,1.01348,0.76408,0.94722,0.92835,0.92883,0.47097,1.74968,1.10836,0.75922,0.0011486,0.0011486,0.0011486
45,2076.31,1.89172,1.02536,0.77538,0.94716,0.92716,0.93046,0.46819,1.80592,1.04322,0.76106,0.0011288,0.0011288,0.0011288
46,2125.52,1.94571,0.95399,0.7472,0.982,0.94081,0.98115,0.50487,1.69349,0.96235,0.76145,0.001109,0.001109,0.001109
47,2179.39,1.82416,0.90364,0.7428,0.965,0.95086,0.97862,0.5141,1.67874,0.91926,0.75949,0.0010892,0.0010892,0.0010892
48,2229.01,1.74047,0.94384,0.77575,0.93116,0.93283,0.95995,0.46563,1.77344,0.95567,0.76527,0.0010694,0.0010694,0.0010694
49,2278.95,2.04235,0.97304,0.74265,0.89947,0.92563,0.92739,0.39922,1.96605,1.03052,0.7775,0.0010496,0.0010496,0.0010496
50,2329.82,1.87502,0.92704,0.76381,0.9742,0.89655,0.94477,0.45508,1.87139,0.98918,0.77124,0.0010298,0.0010298,0.0010298
51,2376.03,1.83855,0.92987,0.76956,0.97816,0.91379,0.96702,0.43369,1.87781,0.95274,0.76301,0.00101,0.00101,0.00101
52,2421.02,1.78695,0.90202,0.77011,0.98138,0.90862,0.94142,0.45322,1.84542,0.91063,0.76468,0.0009902,0.0009902,0.0009902
53,2468.16,1.79491,0.9241,0.76419,0.9808,0.91379,0.94196,0.47556,1.75185,0.89322,0.76091,0.0009704,0.0009704,0.0009704
54,2514.97,1.74709,0.89381,0.77385,0.99493,0.93103,0.97897,0.47327,1.74697,0.88618,0.75816,0.0009506,0.0009506,0.0009506
55,2563.08,1.80221,0.86672,0.76008,0.99161,0.93103,0.98025,0.45255,1.79337,0.90773,0.75952,0.0009308,0.0009308,0.0009308
56,2610.21,1.74733,0.8633,0.76556,0.94354,0.94828,0.94554,0.40863,1.86866,0.93809,0.76381,0.000911,0.000911,0.000911
57,2656.86,1.75792,0.90072,0.78309,0.94803,0.94828,0.94586,0.43142,1.79459,0.88131,0.75529,0.0008912,0.0008912,0.0008912
58,2707.87,1.6538,0.86398,0.75773,0.94785,0.9401,0.94719,0.4617,1.65209,0.84406,0.75047,0.0008714,0.0008714,0.0008714
59,2752.71,1.84368,0.85152,0.74715,0.96475,0.94376,0.94251,0.48723,1.62636,0.81634,0.74844,0.0008516,0.0008516,0.0008516
60,2802.77,1.78088,0.85316,0.77008,0.96475,0.94382,0.94315,0.47642,1.6354,0.81435,0.74885,0.0008318,0.0008318,0.0008318
61,2849.16,1.9182,0.83393,0.72949,0.94723,0.92842,0.93939,0.48557,1.61707,0.81733,0.74767,0.000812,0.000812,0.000812
62,2900.32,1.74817,0.82258,0.76438,0.97931,0.94828,0.98167,0.46841,1.68398,0.85382,0.75588,0.0007922,0.0007922,0.0007922
63,2947.4,1.76991,0.84196,0.76366,0.98179,0.9298,0.94944,0.44219,1.77533,0.85117,0.76403,0.0007724,0.0007724,0.0007724
64,2993.8,1.72382,0.82261,0.77396,1,0.9591,0.9831,0.44926,1.71514,0.80318,0.75134,0.0007526,0.0007526,0.0007526
65,3039.47,1.82873,0.83727,0.76302,0.99547,0.96552,0.9831,0.45405,1.70102,0.78554,0.74807,0.0007328,0.0007328,0.0007328
66,3087.3,1.7419,0.83187,0.77001,0.99409,0.96552,0.9831,0.49601,1.66165,0.77386,0.75011,0.000713,0.000713,0.000713
67,3134.14,1.81443,0.80864,0.77321,0.98114,0.94828,0.94562,0.48089,1.68749,0.80634,0.75591,0.0006932,0.0006932,0.0006932
68,3181.58,1.70048,0.80109,0.75637,1,0.9629,0.98201,0.51119,1.6238,0.79141,0.74878,0.0006734,0.0006734,0.0006734
69,3230.79,1.78503,0.8079,0.75959,0.99661,0.94828,0.98117,0.49042,1.62763,0.78957,0.74726,0.0006536,0.0006536,0.0006536
70,3281.34,1.7417,0.77732,0.76175,0.99351,0.94828,0.98048,0.47117,1.68425,0.79616,0.75038,0.0006338,0.0006338,0.0006338
71,3327.39,1.70935,0.81423,0.77274,0.99347,0.94828,0.98141,0.49272,1.65685,0.79007,0.75098,0.000614,0.000614,0.000614
72,3374.72,1.72022,0.80729,0.74419,0.97072,0.93103,0.94489,0.5005,1.67365,0.79594,0.75334,0.0005942,0.0005942,0.0005942
73,3421.52,1.82785,0.7621,0.73774,0.96457,0.93888,0.94579,0.47879,1.73151,0.80205,0.75625,0.0005744,0.0005744,0.0005744
74,3469.48,1.82734,0.75852,0.76588,0.96441,0.93457,0.94734,0.48751,1.70783,0.79314,0.75472,0.0005546,0.0005546,0.0005546
75,3519.48,1.72165,0.75759,0.75709,0.99834,0.94828,0.98212,0.47634,1.61936,0.77685,0.74852,0.0005348,0.0005348,0.0005348
76,3571.39,1.74641,0.78658,0.74806,0.99466,0.94828,0.98126,0.47949,1.60636,0.77996,0.74789,0.000515,0.000515,0.000515
77,3621.59,1.67824,0.77906,0.75294,0.97897,0.93103,0.94995,0.48872,1.62273,0.79192,0.75028,0.0004952,0.0004952,0.0004952
78,3670.27,1.63434,0.75517,0.75643,0.98178,0.92922,0.95044,0.48183,1.71422,0.81684,0.75716,0.0004754,0.0004754,0.0004754
79,3723.02,1.67867,0.75316,0.74252,0.98179,0.92937,0.95071,0.49079,1.71625,0.81718,0.75862,0.0004556,0.0004556,0.0004556
80,3775.98,1.74483,0.79281,0.75885,1,0.96167,0.98227,0.50561,1.65906,0.79007,0.7549,0.0004358,0.0004358,0.0004358
81,3827.79,1.68954,0.79271,0.77044,0.9926,0.96552,0.98201,0.5162,1.62809,0.77141,0.75335,0.000416,0.000416,0.000416
82,3874.76,1.69397,0.76916,0.74297,0.99486,0.94828,0.98166,0.5055,1.61234,0.76655,0.75194,0.0003962,0.0003962,0.0003962
83,3923.04,1.708,0.7844,0.75877,0.9823,0.95668,0.98192,0.47715,1.68596,0.77901,0.75343,0.0003764,0.0003764,0.0003764
84,3979.22,1.61542,0.74665,0.76615,0.99809,0.94828,0.98185,0.46765,1.74538,0.79188,0.7561,0.0003566,0.0003566,0.0003566
85,4031.22,1.72167,0.76575,0.75343,0.96396,0.93103,0.95216,0.47416,1.75056,0.79659,0.7563,0.0003368,0.0003368,0.0003368
86,4083.99,1.6631,0.76371,0.75829,0.9628,0.93103,0.94882,0.47068,1.71556,0.78493,0.75348,0.000317,0.000317,0.000317
87,4133.26,1.60128,0.71204,0.76265,0.96413,0.93103,0.94865,0.47941,1.68209,0.77771,0.75113,0.0002972,0.0002972,0.0002972
88,4182.56,1.62377,0.7247,0.75881,1,0.93042,0.97912,0.48334,1.68378,0.78706,0.75198,0.0002774,0.0002774,0.0002774
89,4233.67,1.62137,0.73587,0.75527,1,0.93098,0.97912,0.48733,1.68383,0.79704,0.75329,0.0002576,0.0002576,0.0002576
90,4277.31,1.67969,0.71615,0.73851,0.96535,0.96079,0.97858,0.48758,1.665,0.79036,0.75268,0.0002378,0.0002378,0.0002378
91,4328.83,1.70691,0.87386,0.77401,0.94649,0.91494,0.97112,0.48606,1.66223,0.79486,0.75046,0.000218,0.000218,0.000218
92,4377.4,1.59412,0.83615,0.77891,0.93557,0.87931,0.91146,0.47136,1.70268,0.81336,0.75209,0.0001982,0.0001982,0.0001982
93,4430,1.54086,0.80225,0.78172,0.92822,0.89187,0.91051,0.45348,1.75017,0.83173,0.75484,0.0001784,0.0001784,0.0001784
94,4478.87,1.55931,0.8105,0.78629,0.92828,0.89267,0.90769,0.44974,1.77176,0.84365,0.7563,0.0001586,0.0001586,0.0001586
95,4518.38,1.51109,0.78149,0.78401,0.96153,0.86191,0.90519,0.45989,1.76609,0.85254,0.75643,0.0001388,0.0001388,0.0001388
96,4557.35,1.58708,0.79262,0.78006,0.95566,0.86207,0.90578,0.44382,1.7611,0.85326,0.75646,0.000119,0.000119,0.000119
97,4609.62,1.56602,0.78011,0.80282,0.94536,0.89486,0.91168,0.44891,1.74795,0.85198,0.75557,9.92e-05,9.92e-05,9.92e-05
98,4661.68,1.56436,0.78816,0.75701,0.94516,0.8915,0.90944,0.45166,1.72371,0.85494,0.75366,7.94e-05,7.94e-05,7.94e-05
99,4715.76,1.55936,0.79099,0.76311,0.95247,0.89655,0.92365,0.45695,1.68462,0.84917,0.75073,5.96e-05,5.96e-05,5.96e-05
100,4769.75,1.60086,0.7979,0.75675,0.95234,0.89655,0.92444,0.46049,1.67315,0.84095,0.74922,3.98e-05,3.98e-05,3.98e-05
