epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4199,2.91244,4.36377,0.88913,0.00256,0.17241,0.00175,0.00053,2.40489,4.52373,0.79552,0.00034,0.00034,0.00034
2,50.2473,2.67494,3.06395,0.86239,0.00436,0.2931,0.00261,0.00068,2.29288,4.20504,0.78177,0.00069307,0.00069307,0.00069307
3,73.985,2.6619,2.63306,0.83561,0.01077,0.72414,0.01523,0.00399,2.6065,4.09166,0.8334,0.00103901,0.00103901,0.00103901
4,96.6071,2.33909,2.49289,0.83355,0.1523,0.94828,0.81389,0.31454,2.08624,2.95902,0.77651,0.00137783,0.00137783,0.00137783
5,119.211,2.27517,2.25578,0.81198,0.93929,0.267,0.77331,0.25292,2.29633,2.65798,0.80339,0.00170951,0.00170951,0.00170951
6,145.477,2.39581,2.07454,0.80497,0.82927,0.50254,0.76464,0.26193,2.02209,2.54372,0.7775,0.001901,0.001901,0.001901
7,186.574,2.61952,2.10711,0.77924,0.86948,0.7931,0.87073,0.4007,1.99058,1.97706,0.77426,0.0018812,0.0018812,0.0018812
8,228.224,2.49883,2.11913,0.80647,0.88758,0.81034,0.90223,0.37801,2.03013,1.71143,0.78333,0.0018614,0.0018614,0.0018614
9,274.588,2.64429,2.0589,0.84983,0.76223,0.74138,0.66488,0.19285,2.60098,2.02338,0.86005,0.0018416,0.0018416,0.0018416
10,322.374,2.77323,1.96149,0.83381,0.78903,0.83834,0.84272,0.22622,2.53223,1.82169,0.83624,0.0018218,0.0018218,0.0018218
11,371.093,2.34639,1.85731,0.81452,0.88095,0.91379,0.94523,0.34858,2.32629,1.69818,0.80493,0.001802,0.001802,0.001802
12,416.99,2.46654,1.83424,0.80954,0.98399,0.86207,0.96597,0.33999,2.31464,1.73942,0.80762,0.0017822,0.0017822,0.0017822
13,461.564,2.37766,1.59175,0.77229,0.95741,0.89655,0.95127,0.39221,1.9978,1.62752,0.77669,0.0017624,0.0017624,0.0017624
14,507.217,2.14501,1.66373,0.79706,0.96457,0.93894,0.9692,0.40053,1.90669,1.51632,0.77164,0.0017426,0.0017426,0.0017426
15,555.447,2.14217,1.51559,0.78223,0.97538,0.89655,0.94252,0.37666,2.03052,1.44652,0.78625,0.0017228,0.0017228,0.0017228
16,604.16,2.12598,1.54441,0.7935,0.98905,0.89655,0.97285,0.43322,1.87851,1.33562,0.77082,0.001703,0.001703,0.001703
17,648.221,2.06503,1.41825,0.78496,0.99582,0.89655,0.97464,0.45298,1.83727,1.31844,0.76621,0.0016832,0.0016832,0.0016832
18,697.121,2.13342,1.51658,0.79137,0.9762,0.91379,0.95406,0.39409,1.98925,1.39272,0.77904,0.0016634,0.0016634,0.0016634
19,743.688,1.96812,1.33906,0.79554,0.99534,0.91379,0.97478,0.4545,1.75843,1.25958,0.76403,0.0016436,0.0016436,0.0016436
20,793.26,2.01314,1.347,0.78139,0.98141,0.91022,0.97376,0.48278,1.7124,1.22142,0.76241,0.0016238,0.0016238,0.0016238
21,842.603,2.04913,1.32041,0.77955,0.9257,0.85927,0.86039,0.28933,2.26487,1.54903,0.8049,0.001604,0.001604,0.001604
