epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3164.39,1.99738,0.88263,0.77519,0.93626,0.91802,0.95023,0.47263,1.79123,0.83815,0.79258,0.0011882,0.0011882,0.0011882
43,3240.61,1.86058,0.83796,0.76764,0.93664,0.9125,0.9361,0.46008,1.86627,0.86796,0.79761,0.0011684,0.0011684,0.0011684
44,3318.57,1.85678,0.8255,0.76875,0.90984,0.9125,0.92478,0.47608,1.78047,0.90764,0.79191,0.0011486,0.0011486,0.0011486
45,3395.8,1.86889,0.83504,0.76584,0.92982,0.91084,0.94039,0.44705,1.88098,0.90462,0.79409,0.0011288,0.0011288,0.0011288
46,3472.35,1.84047,0.83177,0.77065,0.94011,0.9125,0.95605,0.48033,1.81482,0.8186,0.78983,0.001109,0.001109,0.001109
47,3551.08,1.76629,0.8172,0.78304,0.92641,0.9125,0.93453,0.46036,1.83677,0.81619,0.79435,0.0010892,0.0010892,0.0010892
48,3627.36,1.79194,0.81367,0.76709,0.95298,0.89375,0.93857,0.46466,1.8102,0.83932,0.78713,0.0010694,0.0010694,0.0010694
49,3705.62,1.84904,0.78733,0.76813,0.93381,0.88183,0.93499,0.44227,1.84634,0.84609,0.79566,0.0010496,0.0010496,0.0010496
50,3782.03,1.79048,0.82193,0.77132,0.93004,0.9,0.94107,0.47378,1.7171,0.79574,0.78195,0.0010298,0.0010298,0.0010298
51,3859.71,1.86914,0.81584,0.76802,0.95267,0.88067,0.94704,0.48101,1.75075,0.80085,0.78401,0.00101,0.00101,0.00101
52,3934.66,1.90514,0.78898,0.77154,0.91327,0.8556,0.89039,0.37035,2.04835,0.87755,0.8076,0.0009902,0.0009902,0.0009902
53,4010.23,1.84874,0.82563,0.78224,0.95948,0.88799,0.943,0.45611,1.79092,0.8434,0.78726,0.0009704,0.0009704,0.0009704
54,4088.95,1.83288,0.79487,0.77223,0.89362,0.89375,0.88083,0.40603,1.82269,0.93148,0.78467,0.0009506,0.0009506,0.0009506
55,4167.21,1.86844,0.79197,0.76975,0.8857,0.9,0.91766,0.43994,1.83038,0.89105,0.79214,0.0009308,0.0009308,0.0009308
56,4244.79,1.84332,0.79235,0.76909,0.93778,0.89375,0.93463,0.43895,1.84819,0.85653,0.79143,0.000911,0.000911,0.000911
57,4322.9,1.96037,0.80688,0.76142,0.94428,0.9,0.94936,0.47159,1.75876,0.83895,0.78407,0.0008912,0.0008912,0.0008912
58,4401.56,1.83673,0.79893,0.77898,0.92203,0.90625,0.9417,0.46262,1.81748,0.86859,0.79188,0.0008714,0.0008714,0.0008714
59,4479.38,1.82764,0.80839,0.78745,0.92448,0.89375,0.93032,0.44765,1.84928,0.88196,0.79648,0.0008516,0.0008516,0.0008516
60,4557.58,1.83168,0.79101,0.78286,0.94853,0.89375,0.93597,0.4665,1.77738,0.81878,0.78852,0.0008318,0.0008318,0.0008318
61,4636.58,1.81951,0.75117,0.76856,0.94654,0.88526,0.93139,0.45684,1.7812,0.81383,0.78658,0.000812,0.000812,0.000812
62,4715.75,1.76823,0.75975,0.76956,0.94764,0.90487,0.95126,0.4826,1.74687,0.79303,0.78716,0.0007922,0.0007922,0.0007922
63,4802.54,1.79302,0.75922,0.76815,0.94527,0.8635,0.92418,0.46672,1.794,0.81289,0.79184,0.0007724,0.0007724,0.0007724
64,4890.63,1.83961,0.77136,0.76149,0.97182,0.86203,0.9422,0.48904,1.73221,0.79034,0.78425,0.0007526,0.0007526,0.0007526
65,4974.69,1.76852,0.75049,0.77293,0.93462,0.89344,0.93697,0.48352,1.79467,0.79306,0.78537,0.0007328,0.0007328,0.0007328
66,5052.42,1.74197,0.73436,0.75809,0.90911,0.9125,0.92877,0.4565,1.81103,0.80825,0.78575,0.000713,0.000713,0.000713
67,5133.17,1.73661,0.72673,0.7708,0.92707,0.87389,0.88803,0.43843,1.81324,0.86915,0.78918,0.0006932,0.0006932,0.0006932
68,5212.58,1.67768,0.72886,0.77674,0.90731,0.8875,0.90389,0.46059,1.74856,0.86235,0.78492,0.0006734,0.0006734,0.0006734
69,5293.01,1.74342,0.74783,0.74918,0.91755,0.9042,0.90565,0.46997,1.75575,0.86739,0.78293,0.0006536,0.0006536,0.0006536
70,5372.23,1.73527,0.73431,0.76596,0.92656,0.89375,0.90763,0.47466,1.72626,0.85061,0.78228,0.0006338,0.0006338,0.0006338
71,5449.2,1.72774,0.71933,0.76452,0.89849,0.8851,0.8892,0.45339,1.77046,0.90297,0.78706,0.000614,0.000614,0.000614
72,5527.89,1.7328,0.7277,0.76913,0.88748,0.88734,0.87334,0.45127,1.72057,0.86761,0.7829,0.0005942,0.0005942,0.0005942
73,5600.23,1.69458,0.72394,0.7726,0.91849,0.88125,0.92726,0.47869,1.73108,0.7882,0.78043,0.0005744,0.0005744,0.0005744
74,5668.29,1.6618,0.69391,0.76138,0.89247,0.9375,0.91975,0.47162,1.728,0.8151,0.77734,0.0005546,0.0005546,0.0005546
75,5733.52,1.74046,0.68969,0.75684,0.89416,0.9375,0.92073,0.47006,1.72567,0.83181,0.77764,0.0005348,0.0005348,0.0005348
76,5799.11,1.71306,0.69724,0.76581,0.858,0.90635,0.87099,0.43354,1.781,0.91279,0.78392,0.000515,0.000515,0.000515
77,5871.03,1.75507,0.71002,0.76774,0.87446,0.87072,0.84493,0.3973,1.85106,1.00382,0.78988,0.0004952,0.0004952,0.0004952
78,5938.05,1.66255,0.68724,0.77522,0.8853,0.86829,0.84201,0.42855,1.73255,0.96195,0.78079,0.0004754,0.0004754,0.0004754
79,6000.65,1.7654,0.71316,0.76052,0.89121,0.87039,0.86057,0.43023,1.76143,0.99051,0.78052,0.0004556,0.0004556,0.0004556
80,6062.19,1.67486,0.67441,0.75362,0.86454,0.87755,0.84888,0.43323,1.72553,0.99198,0.77925,0.0004358,0.0004358,0.0004358
81,6127.63,1.72123,0.70417,0.77803,0.86491,0.86875,0.83358,0.42083,1.77196,1.10982,0.78447,0.000416,0.000416,0.000416
82,6191.6,1.78017,0.72023,0.75353,0.81984,0.89375,0.83194,0.42085,1.75182,1.09568,0.78619,0.0003962,0.0003962,0.0003962
83,6252.42,1.62492,0.69335,0.76726,0.8533,0.8625,0.82848,0.41819,1.70746,0.98472,0.78172,0.0003764,0.0003764,0.0003764
84,6316.59,1.64819,0.69077,0.75935,0.84658,0.89375,0.85021,0.44263,1.70808,0.96774,0.78096,0.0003566,0.0003566,0.0003566
85,6382.5,1.71746,0.72835,0.77752,0.8313,0.86236,0.82982,0.42168,1.7305,1.10622,0.78207,0.0003368,0.0003368,0.0003368
86,6446.66,1.73034,0.70722,0.75471,0.85874,0.87385,0.85788,0.44495,1.73025,0.94784,0.78185,0.000317,0.000317,0.000317
87,6504.95,1.64408,0.6947,0.76951,0.86559,0.88552,0.86489,0.45082,1.71745,0.94117,0.78227,0.0002972,0.0002972,0.0002972
